,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
studiemedarbejder,0.26436781609195403,0.08045977011494254,0.09195402298850575,0.0,0.1954022988505747,0.27586206896551724,0.21839080459770116,0.0,0.6896551724137931,1.0,0.896551724137931,0.16091954022988503,0.011494252873563204,0.022988505747126436,0.16091954022988503,0.11494252873563221
mekaniker,0.5519125683060109,0.6065573770491803,0.4098360655737705,0.8524590163934427,1.0,0.9890710382513661,0.40437158469945356,0.34426229508196715,0.7650273224043715,0.6721311475409837,0.21857923497267762,0.0,0.3989071038251366,0.06557377049180335,0.14754098360655732,0.12568306010928953
receptionist,0.7234042553191489,0.6489361702127658,0.3191489361702128,0.32978723404255317,0.6489361702127658,0.7978723404255319,0.7553191489361701,0.7340425531914894,0.8191489361702127,0.5106382978723405,1.0,0.47872340425531923,0.4893617021276595,0.0,0.3191489361702128,0.13829787234042556
ejendomsmægler,1.0,0.825,0.65,0.625,0.375,0.675,0.42500000000000004,0.5,0.675,0.475,0.125,0.275,0.0,0.024999999999999967,0.32499999999999996,0.175
studentermedarbejder,0.0,0.13414634146341464,0.15853658536585363,0.3536585365853659,0.43902439024390244,0.37804878048780494,0.23170731707317077,0.3170731707317073,0.2926829268292683,0.524390243902439,1.0,0.6585365853658536,0.2439024390243903,0.23170731707317077,0.23170731707317077,0.20731707317073172
kontorassistent,1.0,0.8644067796610169,0.44067796610169485,0.5254237288135593,0.5423728813559321,0.7966101694915253,0.15254237288135597,0.35593220338983045,0.22033898305084731,0.2542372881355932,0.23728813559322037,0.2881355932203389,0.5254237288135593,0.06779661016949146,0.0,0.23728813559322037
kundeservicemedarbejder,0.52,0.21999999999999997,0.20000000000000018,0.18000000000000016,0.56,1.0000000000000002,0.08000000000000007,0.6400000000000001,0.8200000000000001,0.56,0.28,0.0,0.5,0.040000000000000036,0.1200000000000001,0.32000000000000006
elev,0.9111498257839721,0.44250871080139365,0.22125435540069693,0.022648083623693527,0.8275261324041814,0.872822299651568,0.005226480836237002,0.10104529616724744,0.9965156794425087,0.7404181184668992,0.0,0.08362369337979092,1.0000000000000002,0.7073170731707317,0.32578397212543564,0.36062717770034847
sælger,0.9747292418772564,0.7364620938628159,0.6425992779783394,0.6787003610108304,1.0,0.8628158844765343,0.5054151624548737,0.4945848375451263,0.772563176895307,0.5126353790613718,0.8014440433212997,0.7148014440433212,0.4548736462093863,0.0,0.1732851985559567,0.371841155234657
vikarvagt,0.0,0.13953488372093026,0.5581395348837209,0.627906976744186,0.5813953488372092,0.8604651162790697,1.0,0.9069767441860465,0.9534883720930232,0.9302325581395349,1.0,0.6976744186046511,0.5348837209302325,0.3488372093023256,0.883720930232558,0.4186046511627907
ernæringsassistent,0.6493506493506496,0.8701298701298701,0.051948051948051965,0.7272727272727273,0.5454545454545456,0.8051948051948055,0.40259740259740284,0.6623376623376622,0.37662337662337664,0.49350649350649367,0.19480519480519476,0.46753246753246747,1.0000000000000002,0.1428571428571428,0.0,0.4415584415584417
tilkaldevikar,0.6386554621848738,0.26890756302521,0.3277310924369746,0.23529411764705876,0.6134453781512604,0.5882352941176471,0.26050420168067223,0.3697478991596638,0.9999999999999999,0.31932773109243684,0.16806722689075626,0.134453781512605,0.6722689075630252,0.0,0.26050420168067223,0.44537815126050406
ungarbejder,0.0,0.04907975460122699,0.30674846625766866,0.11042944785276071,0.9079754601226995,0.785276073619632,0.42331288343558277,0.37423312883435583,0.6809815950920246,1.0,0.9079754601226995,0.5337423312883436,0.6196319018404908,0.5582822085889572,0.5153374233128833,0.44785276073619634
lærer,0.08565459610027859,0.9275766016713092,0.2834261838440112,0.4338440111420613,0.15738161559888586,1.0,0.26810584958217276,0.35027855153203347,0.0,0.7207520891364902,0.20752089136490248,0.266016713091922,0.057103064066852394,0.7388579387186629,0.3272980501392758,0.4512534818941505
salgsassistentelev,0.32474226804123707,0.2706185567010309,0.13402061855670103,0.030927835051546386,0.1752577319587629,0.15463917525773196,0.0,0.03608247422680413,0.21649484536082472,0.10567010309278352,0.16237113402061856,0.10824742268041238,0.3324742268041237,1.0,0.38659793814432986,0.45618556701030927
tandlæge,0.7887323943661972,0.6619718309859153,0.7887323943661972,0.9999999999999998,0.5070422535211268,0.7605633802816902,0.12676056338028152,0.8732394366197183,0.5774647887323943,0.7464788732394367,0.25352112676056326,0.5070422535211268,0.6901408450704223,0.0,0.6338028169014083,0.464788732394366
handicaphjælper,0.04558011049723765,0.0,0.7665745856353592,0.9088397790055249,0.7997237569060773,0.9295580110497237,1.0,0.7665745856353592,0.75,0.7679558011049723,0.7140883977900552,0.5179558011049723,0.5994475138121547,0.28314917127071826,0.7251381215469612,0.4737569060773481
studentermedhjælper,0.14224137931034475,0.2758620689655171,0.43534482758620685,0.6336206896551724,0.7413793103448274,1.0,0.4956896551724137,0.6551724137931034,0.5172413793103448,0.8232758620689653,0.21982758620689635,0.3275862068965516,0.6163793103448274,0.0,0.4525862068965516,0.4913793103448274
salgsleder,0.0,0.1217391304347826,0.7130434782608697,0.6695652173913043,0.8695652173913044,0.8434782608695652,0.6695652173913043,1.0,0.7304347826086957,0.8782608695652174,0.9217391304347826,0.5217391304347827,0.45217391304347826,0.791304347826087,0.46956521739130436,0.5043478260869565
